,0
0,62.1337
1,62.9355
2,63.346
3,63.5369
4,64.3674
5,64.1574
6,64.3388
7,62.8305
8,62.821
9,63.6897
10,64.291
11,65.0833
12,66.0093
13,65.2456
14,65.6465
15,65.427
16,66.2097
17,65.8566
18,66.1047
19,66.057
20,65.847
21,66.8207
22,66.9161
23,66.0093
24,65.0833
25,66.3434
26,67.6607
27,67.4125
28,67.4984
29,69.2549
30,68.3194
31,67.9662
32,68.8826
33,68.5103
34,69.4935
35,70.219
36,69.1403
37,69.0926
38,69.694
39,68.5198
40,67.6034
41,68.7298
42,67.3171
43,65.6275
44,66.5439
45,68.2907
46,67.3075
47,68.0425
48,68.7298
49,66.1429
50,65.9043
51,64.5297
52,62.7446
53,63.5369
54,66.057
55,66.2288
56,67.4221
57,68.6344
58,67.8516
59,68.4912
60,68.6248
61,68.9685
62,67.4507
63,66.4961
64,67.3743
65,67.1452
66,67.1643
67,66.5629
68,64.8256
69,65.6275
70,63.1455
71,62.926
72,61.8091
73,62.0478
74,61.8378
75,60.4441
76,62.821
77,64.3197
78,63.6706
79,65.1311
80,65.3888
81,66.3148
82,66.4102
83,65.9138
84,66.7348
85,65.3793
86,66.2384
87,68.0044
88,69.6176
89,70.9731
90,70.0185
91,70.1808
92,69.7322
93,70.1331
94,69.9135
95,69.6844
96,69.3026
97,70.6295
98,71.2977
99,71.0495
100,71.5649
101,71.8513
102,71.6318
103,71.4886
104,71.2499
105,71.1545
106,70.5817
107,70.5722
108,68.6248
109,69.188
110,70.4195
111,71.3645
112,72.4623
113,69.799
114,68.033
115,67.5366
116,66.6298
117,66.687
118,64.6156
119,66.3625
120,67.2502
121,68.6344
122,69.2644
123,69.0353
124,68.6535
125,68.2716
126,67.8134
127,64.6633
128,65.3888
129,65.8661
130,65.8661
131,64.7683
132,64.7683
133,65.6847
134,65.7802
135,65.5797
136,65.3124
137,66.0952
138,65.8947
139,66.4007
140,67.1261
141,67.7753
142,67.0975
143,67.6989
144,69.0449
145,68.5294
146,68.4626
147,67.5175
148,71.584
149,69.694
150,69.6844
151,67.9566
152,67.2693
153,68.7203
154,69.1499
155,69.0926
156,69.3121
157,69.8467
158,71.5936
159,72.4623
160,72.8059
161,73.8178
162,73.14
163,72.0422
164,72.7582
165,73.455
166,72.6054
167,72.2618
168,71.5554
169,71.2022
170,72.5768
171,72.3763
172,73.2355
173,74.3141
174,74.6769
175,73.6937
176,75.5265
177,76.3092
178,73.7128
179,75.2496
180,74.8296
181,74.1996
182,74.0564
183,74.066
184,74.3141
185,73.1018
186,72.09
187,72.2713
188,70.9349
189,71.4504
190,72.0709
191,70.6008
192,71.3072
193,73.5791
194,73.2546
195,73.7414
196,73.035
197,74.9442
198,75.4501
199,76.1374
200,77.3211
201,78.6002
202,78.4857
203,77.6552
204,78.2757
205,78.8293
206,78.0275
207,77.827
208,78.6479
209,78.2375
210,78.1897
211,77.1397
212,77.1302
213,77.4547
214,76.691
215,77.9988
216,79.068
217,79.5071
218,77.9606
219,79.593
220,79.3734
221,80.223
222,79.908
223,80.8148
224,80.8435
225,80.1848
226,80.2039
227,88.2415
228,86.886
229,87.4205
230,87.0578
231,86.8669
232,85.96
233,88.0887
234,87.7642
235,87.2774
236,88.3083
237,89.5779
238,90.1602
239,90.5802
240,89.4824
241,89.3774
242,89.4252
243,88.7856
244,87.8883
245,89.1961
246,88.7474
247,88.3942
248,88.0124
249,88.2988
250,89.0624
251,89.3965
252,88.6615
253,89.4443
254,89.4729
255,86.6569
256,87.6305
257,87.7069
258,86.571
259,85.3968
260,86.9719
261,87.0769
262,86.6855
263,87.201
264,86.1605
265,85.1964
266,82.2944
267,77.8365
268,81.9985
269,80.853
270,83.5163
271,84.4804
272,84.9577
273,81.2826
274,81.4067
275,82.2563
276,81.3876
277,83.0867
278,84.4232
279,81.9031
280,81.1489
281,81.1967
282,81.2444
283,81.7026
284,81.6358
285,81.1012
286,79.5643
287,77.8747
288,78.9534
289,79.6312
290,78.8293
291,75.3737
292,70.6867
293,71.5936
294,73.8082
295,72.3382
296,75.0969
297,75.3642
298,73.8082
299,73.455
300,73.1782
301,74.0087
302,73.8082
303,72.6532
304,66.3434
305,69.2167
306,69.6081
307,70.1522
308,69.5985
309,62.8019
310,63.9569
311,65.427
312,66.477
313,65.6179
314,65.8661
315,65.2838
316,65.8279
317,66.2002
318,65.847
319,65.5511
320,65.3506
321,66.4293
322,66.6679
323,67.1261
324,64.4151
325,62.2005
326,63.2983
327,64.081
328,66.1525
329,65.8375
330,63.031
331,63.4128
332,64.0428
333,65.8566
334,66.057
335,66.3529
336,65.6465
337,67.7848
338,66.8398
339,64.6442
340,64.2242
341,63.1265
342,63.9283
343,64.377
344,64.5583
345,63.4128
346,62.9737
347,63.4701
348,61.4941
349,61.3891
350,62.0382
351,64.6061
352,64.2624
353,66.0666
354,65.6656
355,65.2361
356,65.6847
357,64.8638
358,62.7064
359,63.5369
360,62.5155
361,62.1814
362,61.5514
363,65.5797
364,65.3984
365,63.5751
366,62.105
367,60.8068
368,61.9905
369,59.604
370,60.1291
371,61.8759
372,62.7637
373,62.7351
374,63.8997
375,65.6656
376,64.9115
377,66.2957
378,67.3457
379,69.2835
380,67.0116
381,66.9448
382,65.2552
383,62.9451
384,63.7374
385,63.1074
386,61.5705
387,61.1505
388,63.1933
389,64.3388
390,64.4151
391,64.9974
392,66.5343
393,66.2002
394,67.2311
395,67.0116
396,67.088
397,66.5057
398,67.3266
399,67.9948
400,69.6462
401,69.2167
402,68.9685
403,68.5867
404,69.3026
405,69.589
406,72.4718
407,70.7154
408,69.6749
409,70.9827
410,70.5817
411,71.8322
412,71.7081
413,73.7605
414,72.7295
415,73.0827
416,72.5959
417,74.4573
418,74.381
419,74.2855
420,75.6506
421,74.5337
422,74.6482
423,74.9251
424,75.8415
425,75.7174
426,75.6792
427,76.8438
428,77.1206
429,77.0538
430,76.586
431,77.4356
432,75.8224
433,76.7388
434,76.7865
435,77.0633
436,76.9583
437,77.512
438,77.8556
439,77.7697
440,76.9392
441,75.8987
442,75.0969
443,76.3569
444,76.6433
445,77.3211
446,77.3783
447,77.2256
448,76.9392
449,74.3237
450,74.4764
451,74.3332
452,73.7605
453,72.615
454,73.7318
455,73.3023
456,72.7391
457,74.085
458,74.2187
459,73.7796
460,73.98
461,74.1232
462,74.6292
463,75.4119
464,74.5623
465,75.0205
466,75.6696
467,77.1492
468,76.6051
469,75.6028
470,74.085
471,74.7151
472,73.5123
473,74.19
474,74.5814
475,75.2974
476,75.0874
477,76.2233
478,73.7891
479,72.6914
480,71.6127
481,72.9205
482,73.665
483,73.4264
484,73.0255
485,72.4623
486,72.9491
487,74.0469
488,74.9919
489,74.7151
490,75.4119
491,76.3474
492,75.011
493,75.0396
494,75.8415
495,76.0133
496,76.7197
497,77.3402
498,76.586
499,75.8701
500,74.0182
501,71.479
502,73.245
503,73.5027
504,72.0231
505,70.8776
506,72.2045
507,72.1663
508,72.5673
509,72.7486
510,72.5386
511,73.0636
512,73.5218
513,73.2355
514,73.5027
515,72.4909
516,70.4004
517,70.8108
518,71.1258
519,71.6127
520,71.4981
521,70.7917
522,71.5554
523,70.8299
524,71.5554
525,72.405
526,72.1568
527,72.1282
528,72.7868
529,72.9586
530,74.4573
531,73.9419
532,71.9372
533,72.6818
534,72.5673
535,71.5745
536,71.8322
537,71.9945
538,72.5482
539,71.8513
540,72.5863
541,73.4741
542,72.3286
543,71.479
544,71.88
545,71.9659
546,72.09
547,71.7559
548,71.2404
549,71.2786
550,71.269
551,71.2881
552,71.164
553,72.7868
554,72.4241
555,73.4646
556,76.8342
557,76.6242
558,77.4261
559,78.0752
560,78.1897
561,77.9702
562,78.2757
563,77.9797
564,76.7292
565,75.4883
566,75.7269
567,73.9037
568,73.3118
569,72.0136
570,72.0327
571,70.5817
572,73.7032
573,75.4978
574,65.5702
575,69.2071
576,68.0425
577,66.4198
578,69.7894
579,70.7536
580,70.1044
581,71.2881
582,69.2644
583,69.6844
584,66.4388
585,68.0044
586,67.9948
587,66.7252
588,68.4626
589,67.7084
590,68.1953
591,67.3743
592,67.3648
593,67.823
594,68.8348
595,69.3503
596,70.2381
597,70.5531
598,70.4576
599,69.6653
600,71.4981
601,70.4099
602,70.3526
603,70.0185
604,70.2572
605,70.5435
606,71.1163
607,71.0304
608,69.9231
609,70.4958
610,70.9827
611,71.7177
612,73.2355
613,73.1782
614,72.5863
615,75.2592
616,75.0683
617,75.5456
618,75.641
619,77.302
620,77.5597
621,75.851
622,74.9823
623,75.4692
624,75.9847
625,76.7674
626,76.8533
627,76.9201
628,75.8797
629,76.0801
630,77.1683
631,78.0084
632,79.0393
633,80.0034
634,78.9916
635,78.5716
636,78.8866
637,79.8507
638,79.8793
639,79.7934
640,79.9462
641,80.5857
642,80.013
643,81.1012
644,81.4735
645,82.094
646,82.0749
647,83.0008
648,82.934
649,83.9554
650,83.7359
651,83.4018
652,84.2704
653,83.4304
654,82.5713
655,82.6095
656,83.3922
657,82.0749
658,80.4521
659,80.1848
660,81.5499
661,80.6144
662,80.7194
663,80.118
664,78.7529
665,78.772
666,79.8412
667,83.9745
668,85.9028
669,85.3205
670,84.9004
671,85.0436
672,84.9291
673,84.8814
674,84.2131
675,84.4518
676,84.6045
677,83.9268
678,84.0509
679,83.5449
680,84.5282
681,81.1394
682,81.7026
683,81.4258
684,80.433
685,80.2421
686,80.748
687,80.5571
688,81.0535
689,79.7362
690,79.803
691,80.3853
692,80.433
693,80.6621
694,78.8293
695,79.803
696,79.9366
697,80.1944
698,80.4139
699,81.168
700,81.3399
701,80.6812
702,80.4044
703,79.2589
704,77.9893
705,77.8461
706,78.142
707,78.5907
708,78.142
709,78.7625
710,79.1348
711,78.5811
712,78.2184
713,78.3043
714,79.8412
715,79.2589
716,78.6575
717,79.6598
718,79.0489
719,79.0393
720,79.6502
721,81.1203
722,81.273
723,81.0058
724,80.3089
725,79.8221
726,80.3375
727,80.013
728,80.1657
729,82.4472
730,82.3135
731,82.5044
732,82.9149
733,83.2872
734,83.2681
735,83.5068
736,83.3349
737,82.8672
738,81.0917
739,82.0462
740,82.0462
741,82.9626
742,82.4663
743,82.4949
744,82.514
745,82.9722
746,82.0558
747,81.3494
748,82.2276
749,81.8458
750,78.8484
751,77.3211
752,77.3402
753,76.4715
754,76.6815
755,76.8056
756,75.789
757,74.8964
758,75.6887
759,75.1924
760,74.4573
761,74.6769
762,74.2569
763,74.1041
764,76.0037
765,76.1851
766,75.6983
767,75.2305
768,74.1137
769,73.9896
770,74.801
771,75.0492
772,75.5169
773,75.7651
774,75.8224
775,74.7628
776,73.9514
777,74.085
778,75.2783
779,75.011
780,74.8773
781,73.7509
782,72.72
783,74.276
784,74.7437
785,75.0396
786,75.4883
787,76.2424
788,75.6792
789,74.0087
790,72.9014
791,74.2569
792,73.9228
793,74.3428
794,73.2736
795,74.3141
796,74.295
797,75.5169
798,76.166
799,76.0992
800,75.6601
801,74.0946
802,73.8369
803,72.93
804,72.0231
805,71.9945
806,71.9086
807,68.2526
808,70.9158
809,72.1854
810,73.5409
811,74.7437
812,76.5097
813,77.6361
814,76.8629
815,75.7078
816,75.8224
817,73.3596
818,72.7964
819,72.7009
820,72.2904
821,72.8727
822,73.4168
823,72.9777
824,73.4932
825,74.1805
826,74.9251
827,75.5551
828,74.9633
829,73.98
830,72.2904
831,71.7081
832,72.1663
833,71.8227
834,71.3836
835,72.3954
836,73.77
837,73.6841
838,73.8369
839,74.486
840,78.982
841,80.8339
842,80.9008
843,80.4807
844,79.5357
845,79.2684
846,81.5117
847,80.958
848,82.4472
849,82.5999
850,83.6738
851,82.619
852,84.9959
853,85.9123
854,82.2228
855,82.9149
856,84.0461
857,85.1868
858,84.9004
859,84.1559
860,84.4613
861,84.0031
862,84.6809
863,82.4185
864,82.2658
865,82.7049
866,82.5713
867,81.8458
868,81.4449
869,83.3922
870,84.9864
871,84.9959
872,85.5018
873,86.2178
874,88.6615
875,88.1174
876,87.8787
877,87.8406
878,88.8333
879,92.3653
880,96.9377
881,97.3673
882,96.174
883,96.9282
884,94.4367
885,90.332
886,93.7971
887,94.1312
888,92.6039
889,94.0549
890,93.0526
891,93.7971
892,95.9736
893,96.1454
894,96.1072
895,96.1072
896,96.3554
897,96.6704
898,96.1263
899,95.8018
900,96.973
901,95.3158
902,94.8368
903,96.6569
904,97.0113
905,96.13
906,97.2412
907,98.3716
908,99.3966
909,99.617
910,98.5153
911,97.9405
912,98.8219
913,98.2662
914,98.4291
915,95.8618
916,96.2641
917,96.0821
918,95.5074
919,94.1183
920,93.6394
921,93.5915
922,93.237
923,91.7043
924,91.8672
925,92.9209
926,93.6489
927,92.6718
928,93.1604
929,92.3461
930,92.6144
931,92.4707
932,92.9113
933,93.6873
934,93.7831
935,94.3866
936,94.3291
937,93.352
938,93.4669
939,92.5665
940,92.5569
941,91.4265
942,92.509
943,92.5665
944,91.4744
945,93.0646
946,92.1929
947,93.5531
948,93.8022
949,93.2753
950,96.2929
951,97.0975
952,97.7106
953,96.9539
954,97.0018
955,98.3716
956,98.8889
957,99.2434
958,99.6074
959,98.6686
960,98.9176
961,99.0709
962,98.6877
963,99.7702
964,100.4356
965,99.7628
966,100.2722
967,100.2434
968,100.2818
969,100.9739
970,100.8681
971,101.4064
972,102.6175
973,102.7232
974,101.6083
975,101.8582
976,102.2619
977,101.3103
978,101.5698
979,103.8767
980,104.0209
981,102.3292
982,101.2142
983,101.3968
984,99.4648
985,98.8977
986,98.321
987,99.2341
988,99.9838
989,99.657
990,101.1277
991,101.6083
992,101.541
993,101.7428
994,101.2238
995,102.3676
996,102.5983
997,104.0305
998,102.0985
999,103.7998
1000,105.1935
1001,103.8094
1002,107.51
1003,114.7574
1004,119.6403
1005,119.5731
1006,118.9675
1007,119.8422
1008,119.5923
1009,120.9091
1010,124.677
1011,123.0334
1012,124.9942
1013,123.514
1014,122.9469
1015,123.2544
1016,124.1964
1017,124.6386
1018,125.3883
1019,124.629
1020,126.4841
1021,126.3399
1022,125.4364
1023,126.0419
1024,126.1284
1025,126.3495
1026,126.4168
1027,125.8977
1028,126.5706
1029,126.0528
1030,133.059
1031,129.1174
1032,129.156
1033,127.0165
1034,128.067
1035,126.8334
1036,127.0455
1037,126.9973
1038,129.2234
1039,129.1656
1040,128.067
1041,128.8669
1042,127.9995
1043,128.1055
1044,128.5007
1045,129.9173
1046,130.1197
1047,131.7194
1048,133.0012
1049,134.8708
1050,135.208
1051,133.6083
1052,133.5505
1053,134.1769
1054,133.936
1055,134.1094
1056,134.6973
1057,131.4592
1058,129.1271
1059,129.0981
1060,129.0885
1061,131.4014
1062,132.2013
1063,131.4014
1064,129.1656
1065,125.5517
1066,125.5517
1067,122.3907
1068,120.5886
1069,124.5398
1070,123.3545
1071,129.9751
1072,130.2257
1073,131.5652
1074,130.1486
1075,130.1197
1076,131.6423
1077,136.3645
1078,136.75
1079,138.7738
1080,136.962
1081,137.5499
1082,134.0612
1083,133.1457
1084,135.131
1085,129.3776
1086,131.1701
1087,128.9536
1088,130.8135
1089,130.0908
1090,133.9745
1091,138.3112
1092,139.3333
1093,140.7437
1094,141.1398
1095,136.126
1096,135.527
1097,131.0059
1098,130.8224
1099,130.8417
1100,130.8803
1101,129.808
1102,115.9259
1103,120.1379
1104,121.1329
1105,117.7131
1106,115.781
1107,115.6457
1108,112.7669
1109,115.4719
1110,118.8917
1111,119.2878
1112,118.7371
1113,116.7181
1114,117.0755
1115,119.423
1116,121.7319
1117,122.7849
1118,123.4128
1119,124.8232
1120,123.9731
1121,125.2193
1122,127.2673
